"codigo_de_referencia","entidad_productora","productor","distribuidora","historia_institucional","resena_biografica","forma_de_ingreso","fecha_de_ingreso"
"MXIM-AV-1-11-60","","","","","","",""
"MXIM-AV-1-11-61","Consejo Nacional para la Cultura y la Artes (CONACULTA)","","","CONACULTA: El Consejo Nacional para la Cultura y las Artes responde a la necesidad de contar con un órgano rector que dé coherencia a una política pública históricamente desarrollada en el país por una gran multiplicidad de organismos y dependencias de muy distintos sectores y de la más diversa naturaleza institucional. Entre ellas, las unidades administrativas de la anterior Subsecretaría de Cultura de la Secretaría de Educación Pública, inmediato antecedente del Consejo; las diferentes instituciones y dependencias de otras secretarías que por sus funciones de carácter cultural han sido transferidas en distintos momentos; y, finalmente, las entidades adscritas al área de Cultura, varias de larga tradición. En atención a las exigencias y requerimientos de orden cultural de la sociedad mexicana, a partir de la creación del Consejo Nacional para la Cultura y las Artes se da origen a diversos programas y acciones, con el propósito fundamental de enriquecer la identidad cultural de los mexicanos. La misión fundamental del Consejo es integrar y coordinar de manera armoniosa la labor de los organismos, dependencias e instituciones del gobierno que desarrollan la política cultural del Estado Mexicano. (Extraído de: http://www.conaculta.gob.mx/consejo_quienes.html)","","",""
"MXIM-AV-1-11-62","Universidad de Buenos Aires/DIANA Producciones","","Felipe Pigna","","","",""
"MXIM-AV-1-11-63","Universidad de Buenos Aires, DIANA Producciones","","Felipe Pigna","","","",""
"MXIM-AV-1-11-64","Universidad de Buenos Aires, DIANA Producciones","","Felipe Pigna","","","",""
"MXIM-AV-1-11-65","Editorial Clío","","Diana Roldán","","","",""
"MXIM-AV-1-11-66","S.P. Filmes","Productor ejecutivo: Pedro Correia Martins","","","","",""
"MXIM-AV-1-11-67","Editorial Clío","","Diana Roldán","","","",""
"MXIM-AV-1-11-68","Institut für den Wissenschaftlichen Film","","Ulrich Roters, Sandor Horvath, Nanook Film","Una de las instituciones más importantes en la producción y distribución de cine científico para investigación y enseñanza superior. Su catálogo cuenta con 5000 títulos producidos por el Institut y 1800 títulos de otros productores que cubren todas las áreas de conocimiento. Sus fondos están disponibles en préstamo y en venta. (http://www.ub.es/geocrit/arac-43.htm)","","",""
"MXIM-AV-1-11-69","Editorial Clío","","Diana Roldán","","","",""
"MXIM-AV-1-11-70","RTBF Regie Media Belge","","Flavio Somogyi, Rod Caird","","","",""
"MXIM-AV-1-11-71","Fundación John T. and Catherine T. MacArthur/Fundación Rockefeller","","","La Fundación John D. and Catherine T. MacArthur es una institución privada e independiente dedicada a apoyar a grupos e individuos en sus esfuerzos para mejorar la condición humana a través de donaciones y subvenciones. Por medio del Programa General de donaciones la Fundación apoya proyectos que promuevan los objetivos amplios de la Fundación pero que no caen dentro de sus otros programas de ayudas. Estas donaciones apoyan proyectos de medios de comunicación de interés público, incluyendo películas documentales independientes, y otros proyectos como la prevención de la violencia con armas de fuego y políticas de comunicación.En el área de medios, el Programa General apoya proyectos de cine documental, radio pública y medios de interés público.(http://www.comminit.com/es/node/141330/37).\
La Fundación Rockefeller es una organización filantrópica fundada en 1913 por el industrial estadounidense John D. Rockefeller con el fin de promover el bienestar de la humanidad en todo el mundo. Es una de las fundaciones privadas más antiguas de Estados Unidos y una de las pocas que existen con fuertes intereses internacionales.Dentro de los Estados Unidos, la Fundación Rockefeller financia programas para impulsar la igualdad de oportunidades de las minorías, a la vez que ofrece becas y ayudas en el campo de las artes y las humanidades. En el ámbito del desarrollo internacional, la fundación centra su atención, sobre todo, en las ciencias agrícolas, sanitarias y demográficas. Rockefeller proporcionó a la fundación donaciones que con el tiempo representarían un total de 241 millones de dólares. Más tarde se han ido añadiendo más fondos de forma esporádica. La Fundación Conmemorativa Laura Spelman Rockefeller, creada en 1918 para potenciar el bienestar mundial de la infancia y los estudios de las ciencias sociales, fue incorporada a la fundación en 1929. Hoy día la fundación cuenta con un capital que asciende a cerca de 1.700 millones de dólares, y concede cada año becas y ayudas por un total de más de 60 millones de dólares. La sede de la fundación se halla en Nueva York.(http://es.wikipedia.org/wiki/Fundaci%C3%B3n_Rockefeller)","","",""
"MXIM-AV-1-11-72","TIEMPO VISUAL A. C., INI","","","CDI (antes INI): La Comisión Nacional para el Desarrollo de los Pueblos Indígenas, es un organismo descentralizado de la Administración Pública Federal, no sectorizado, con personalidad jurídica, con patrimonio propio, con autonomía operativa, técnica, presupuestal y administrativa, con sede en la Ciudad de México, Distrito Federal. La Fototeca Nacho López tiene sus antecedentes en lo que se denominó, por más de 20 años Archivo Etnográfico Audiovisual del INI. En 1977 el Instituto Nacional Indigenista estableció formalmente, como parte de sus políticas, un área especializada en el registro audiovisual de los diferentes aspectos culturales, económicos y sociales de la población indígena a través de lo que denominó Archivo Etnográfico Audiovisual. La finalidad de éste fue apoyar actividades de investigación antropológica, dedicadas a la difusión de la cultura e identidad de las comunidades indígenas.Una vez constituido el aea, el INI, en coordinación con el Fondo Nacional para las Actividades Sociales (Fonapas), decidieron llevar a cabo en 1977 el proyecto Ollin Yoliztli, el cual fue uno de los primeros proyectos en el país que tuvo como objetivo rescatar el patrimonio cultural de los pueblos indígenas de México a través de la fotografía, el registro fílmico y el sonoro. Las primeras filmaciones se realizaron en 35 y 16 mm, y a partir de 1990 la producción se lleva a cabo en video.A partir de 2002 el Acervo lleva el nombre del antropólogo Alfonso Muñoz Jiménez, quien fuera realizador de diversos materiales fílmicos y de video del INI y del Instituto Nacional de Antropología e Historia, así como fundador, en 1977, con Nacho López y Óscar Menéndez, del Archivo Etnográfico Audiovisual del INI. También ocupó el cargo de Subdirector de Imagen y Sonido de ese Instituto. Los acervos están divididos en seis fondos: de Producciones Editadas, de Preservación, de Material de Stock, de Copias de Exhibición, de Submaster y Documental. Los materiales de la cineteca y videoteca fueron producidos de 1951 a 2001 y se preservan 7864 cintas. A continuación se presenta el total de cintas por fondo y los años de los que se localiza información. (Extraído de http://www.conadepi.gob.mx)","","",""
"MXIM-AV-1-11-73","RAI-INTELFILM-RAIUNO-Effetto Notte","","Gianfranco Pannone, Mario Mazzarotto","","Gianfranco Pannone nació en Nápoles en 1963. Es licenciado en Historia del Cine, y un diploma de la Centro Experimental de Cinematografía en dirección de cine, entre 1990 y 1998, dirigió y co-producido los documentales, \"Piccola América\" (Small América) y \"L'América Roma \"(América en Roma), que juntos crean el\" Trilogia dell'America \"(la trilogía de América), y después de\" Latina / Littoria \"(2001), por la que recibió el reconocimiento al mejor trabajo de no ficción, en el Festival de Cine de Turín en 2001. Su medio largometraje, \"Pomodori\" (tomates) 1999, \"Sirena Operaia\" (Alteza Serenísima el Trabajo-Mujer) 2000, \"Venezia, la Citta che affonda\" (Venecia, la ciudad hundimiento) 2002, co-dirtected con Marco Visalberghi, \"Pietre, Miracoli e Petrolio\" (Rocas, Milagros, y Petróleo) (2004). En 2004 hizo su película debut en el cine de ficción, que todavía no se ha publicado \"Io che amo solo te\" (I, el amor que sólo usted). En 2006, también realizada, una película documental \"Cent'anni storia della nostra\" (Cien años de nuestra historia) en co-dirección con Marco Puccioni, realizado en ocasión de la Cgil centenary.Pannone documental enseña dirección a las presas, Universidad de Roma 3, Zelig en la Escuela de Bolzano, y en la nueva escuela de documentales en la Ciudad de las Ciencias en Nápoles. Socio y fundador de Doc / IT, ha escrito algunos ensayos sobre la relación entre el cine y la realidad, y corre la columna Docbox sobre el examen \"on-line\" \"Il documentario.it\". (http://translate.google.com.mx/translate?hl=es&sl=en&u=http://www.prixcmca.org/ITA/cmca_2007/eng/eng_video_impronte.htm&sa=X&oi=translate&resnum=6&ct=result&prev=/search%3Fq%3DGianfranco%2BPannone%26hl%3Des%26client%3Dfirefox-a%26channel%3Ds%26rls%3Dorg.mozilla:es-ES:official%26sa%3DG)","Donación","1999"
"MXIM-AV-1-11-74","UNAM - Coordinación de Difusión Cultural/Comisión Nacional para la Cultura y las Artes (CONACULTA)/Instituto Mexicano de Cinematografía (IMCINE)/C Producciones","","Guadalupe Ferrer, Gonzalo Infante","","José Buil Rios Nace en Celaya, Guanajuato  19 de marzo de 1953. Director, guionista y editor. Abandonó la carrera de Médico Cirujano para ingresar a la de Periodismo y Comunicación Colectiva en la UNAM. Fundador de TAPOSIN y de las revistas Tintero y Sitios, ejerció el periodismo cultural y la crítica de cine en El Nacional, La Revista de la Universidad y Su otro yo. En 1977 ingresó al Centro de Capacitación Cinematográfica donde realizó, en ese mismo año, el documental Mis amigos desempleados. En 1997 realizó para la UNAM el video documental La balada de John  O´Reilly, sobre la participación del Batallón de San Patricio en la guerra de 1847 contra los E.U.A. (Extraído de http://academiamexicanadecine.org.mx/semblanza_individual.asp?idPersona=103)","Donación","1995"
"MXIM-AV-1-11-75","Cine y Video Independiente, 1995","Ediciones Pentagrama S.A de C.V","","La Editorial La Rana del Sur es una empresa morelense enfocada fundamentalmente a la producción y distribución de documentales independientes en el formato DVD. Los documentales que están en circulación son de realizadores independientes que no tienen compromiso con empresas comerciales ni de carácter institucional. Esto nos da un modelo singular ya que el trabajo independiente de cine y video finalmente tiene como destinatario el público en general, así como escuelas y universidades. Nuestro catálogo consta de 23 títulos de diferentes realizadores: José Luis Contreras y María del Carmen Ortiz, Pacho Lane, Diego Rivera, Antonio Zirión y Oscar Menéndez. Hemos dividido nuestro catálogo en dos series: México insólito y Memoria histórica, todas resumidas en un enunciado que es Historia no oficial. Nuestras realizaciones abarcan conceptos de historia de México que van desde temas de etnografía de los pueblos indígenas hasta obras literarias de autores sobresalientes en las letras en México. Y, desde luego, en nuestro catálogo varias de las realizaciones abarcan el capítulo de la historia de México en 1968. También en uno de nuestros capítulos están varias realizaciones sobre la rebelión en Chiapas a partir de 1994. Hace tres años, cuando fundamos esta empresa, logramos romper el silencio sobre el cine documental independiente. En tres años logramos penetrar en el mercado formal a pesar de la persecución constante que tenemos de la Secretaría de Hacienda que no descansa para nada ya que cualquier error contable nos lo señala con requerimientos, terrorismo fiscal y amenazas de embargo, que realmente desanimarían al más valiente de los cineastas.","Oscar Menendez, director, productor, escritor y editor","Compra","2005"
"MXIM-AV-1-11-76","WGBH Boston pr. a Scott Free Production","","","","","",""
"MXIM-AV-1-11-77","Institut für den Wissenschaftlichen Film","","","Una de las instituciones más importantes en la producción y distribución de cine científico para investigación y enseñanza superior. Su catálogo cuenta con 5000 títulos producidos por el Institut y 1800 títulos de otros productores que cubren todas las áreas de conocimiento. Sus fondos están disponibles en préstamo y en venta. (http://www.ub.es/geocrit/arac-43.htm)","","",""
"MXIM-AV-1-11-78","CONACULTA, Dirección General de Culturas Populares","","","CONACULTA: El Consejo Nacional para la Cultura y las Artes responde a la necesidad de contar con un órgano rector que dé coherencia a una política pública históricamente desarrollada en el país por una gran multiplicidad de organismos y dependencias de muy distintos sectores y de la más diversa naturaleza institucional. Entre ellas, las unidades administrativas de la anterior Subsecretaría de Cultura de la Secretaría de Educación Pública, inmediato antecedente del Consejo; las diferentes instituciones y dependencias de otras secretarías que por sus funciones de carácter cultural han sido transferidas en distintos momentos; y, finalmente, las entidades adscritas al área de Cultura, varias de larga tradición. En atención a las exigencias y requerimientos de orden cultural de la sociedad mexicana, a partir de la creación del Consejo Nacional para la Cultura y las Artes se da origen a diversos programas y acciones, con el propósito fundamental de enriquecer la identidad cultural de los mexicanos. La misión fundamental del Consejo es integrar y coordinar de manera armoniosa la labor de los organismos, dependencias e instituciones del gobierno que desarrollan la política cultural del Estado Mexicano. (Extraído de: http://www.conaculta.gob.mx/consejo_quienes.html) DIRECCIÓN GENERAL DE CULTURAS POPULARES: Desde 1989, Culturas Populares e Indígenas ha impulsado el programa de apoyo a las culturas Municipales y Comunitarias -PACMYC- con el cual se han podido financiar más de 7 mil proyectos en todo el país. Como una alternativa para contribuir en la valoración y el reconocimiento de la expresión artística y artesanal; así como en el desarrollo sociocultural de los pueblos la DGCPI creó el Programa de Arte Popular y el Programa de Escuelas Itinerantes de Diseño Artesanal, las cuales ya operan en Tlaxcala y Oaxaca. En el ámbito indígena y como respuesta a las demandas culturales de los grupos asentados en ciudades, zonas conurbadas, campos agrícolas, centros turísticos e industriales del país y el extranjero, la DGCPI cuenta ya con un Programa de apoyo a las Culturas Indígenas Migrantes. Dentro de su trabajo en beneficio de la cultura popular, la DGCPI colabora en la difusión de un sin número de actividades que con este fin realizan instituciones públicas y privadas del DF y de los distintos estados de la República Mexicana. También promueve y organiza, por medio de sus Unidades Regionales: programas de capacitación a Promotores culturales, reuniones, encuentros y Festivales de cultura popular e indígena. (http://www.culturaspopulareseindigenas.gob.mx/programas.html)","","",""
"MXIM-AV-1-11-79","Canal 6 de Julio","","Esperanza Escamilla, Adriana García, Norma Madrid","","","",""
"MXIM-AV-1-11-80","","","","","","",""
"MXIM-AV-1-11-81","Producciones Tragaluz/IMCINE/Fundación Mac Arthur Rockefeller/Cineteca Nacional/Filmoteca-UNAM/FONCA","","Jorge Reygadas, Marisa Sistach y José Buil","La Fundación Rockefeller es una organización filantrópica fundada en 1913 por el industrial estadounidense John D. Rockefeller con el fin de promover el bienestar de la humanidad en todo el mundo. Es una de las fundaciones privadas más antiguas de Estados Unidos y una de las pocas que existen con fuertes intereses internacionales.Dentro de los Estados Unidos, la Fundación Rockefeller financia programas para impulsar la igualdad de oportunidades de las minorías, a la vez que ofrece becas y ayudas en el campo de las artes y las humanidades. En el ámbito del desarrollo internacional, la fundación centra su atención, sobre todo, en las ciencias agrícolas, sanitarias y demográficas. Rockefeller proporcionó a la fundación donaciones que con el tiempo representarían un total de 241 millones de dólares. Más tarde se han ido añadiendo más fondos de forma esporádica. La Fundación Conmemorativa Laura Spelman Rockefeller, creada en 1918 para potenciar el bienestar mundial de la infancia y los estudios de las ciencias sociales, fue incorporada a la fundación en 1929. Hoy día la fundación cuenta con un capital que asciende a cerca de 1.700 millones de dólares, y concede cada año becas y ayudas por un total de más de 60 millones de dólares. La sede de la fundación se halla en Nueva York.(http://es.wikipedia.org/wiki/Fundaci%C3%B3n_Rockefeller). FONCA: Fomentar y estimular la creación artística en todas sus manifestaciones son los objetivos principales del Fondo Nacional para la Cultura y las Artes, cuya aparición obedece a una de las respuestas que ofreció el Gobierno Federal a la comunidad artística para construir instancias de apoyo basadas en la colaboración, la claridad de objetivos, el valor de la cultura para la sociedad y el aprecio de la diversidad de propuestas y quehaceres artísticos.Invierte en los proyectos culturales profesionales que surgen en la comunidad artística; ofrece fondos para que los creadores puedan desarrollar su trabajo sin restricciones, afirmando el ejercicio de las libertades de expresión y creación. Por ello, convoca anualmente a los artistas y creadores para que participen en sus 17 programas, mediante la presentación de propuestas que son evaluadas por Comisiones de Dictaminación  y Selección formadas por artistas y creadores de reconocido prestigio.(Extraído de: http://fonca.conaculta.gob.mx/institucional.html)","","",""
"MXIM-AV-1-11-82","","","","","","",""
"MXIM-AV-1-11-83","Editorial Clío","","","","","",""
"MXIM-AV-1-11-84","Jouhn Hopkins Center for communication Programs","","","","","",""
"MXIM-AV-1-11-85","UNAM , Centro de Investigaciones y Servicios Educativos (CISE)","","Producción ejecutiva: Patricia Fernández Hernández","","","",""
"MXIM-AV-1-11-86","Macumba Internacional (Montreal), Méditerranée Film Production (Paris)","","Claude Lefevre, Bénédicte Massiet du Biest, Robert Cornellier, Patricio Henríquez, Roger Morellec, Raymonde Provencher","","","",""
"MXIM-AV-1-11-87","Editorial Clío","","Diana Roldán","","","",""
"MXIM-AV-1-11-88","EFFETTO NOTTE Roma, LA SEPT, ARTE Paris, MEGARIS Napoli","","Marco Fiumara/Gianfranco Pannone","","Gianfranco Pannone nació en Nápoles en 1963. Es licenciado en Historia del Cine, y un diploma de la Centro Experimental de Cinematografía en dirección de cine, entre 1990 y 1998, dirigió y co-producido los documentales, \"Piccola América\" (Small América) y \"L'América Roma \"(América en Roma), que juntos crean el\" Trilogia dell'America \"(la trilogía de América), y después de\" Latina / Littoria \"(2001), por la que recibió el reconocimiento al mejor trabajo de no ficción, en el Festival de Cine de Turín en 2001. Su medio largometraje, \"Pomodori\" (tomates) 1999, \"Sirena Operaia\" (Alteza Serenísima el Trabajo-Mujer) 2000, \"Venezia, la Citta che affonda\" (Venecia, la ciudad hundimiento) 2002, co-dirtected con Marco Visalberghi, \"Pietre, Miracoli e Petrolio\" (Rocas, Milagros, y Petróleo) (2004). En 2004 hizo su película debut en el cine de ficción, que todavía no se ha publicado \"Io che amo solo te\" (I, el amor que sólo usted). En 2006, también realizada, una película documental \"Cent'anni storia della nostra\" (Cien años de nuestra historia) en co-dirección con Marco Puccioni, realizado en ocasión de la Cgil centenary.Pannone documental enseña dirección a las presas, Universidad de Roma 3, Zelig en la Escuela de Bolzano, y en la nueva escuela de documentales en la Ciudad de las Ciencias en Nápoles. Socio y fundador de Doc / IT, ha escrito algunos ensayos sobre la relación entre el cine y la realidad, y corre la columna Docbox sobre el examen \"on-line\" \"Il documentario.it\". (http://translate.google.com.mx/translate?hl=es&sl=en&u=http://www.prixcmca.org/ITA/cmca_2007/eng/eng_video_impronte.htm&sa=X&oi=translate&resnum=6&ct=result&prev=/search%3Fq%3DGianfranco%2BPannone%26hl%3Des%26client%3Dfirefox-a%26channel%3Ds%26rls%3Dorg.mozilla:es-ES:official%26sa%3DG)","Donación","1999"
"MXIM-AV-1-11-89","Argos Films, LA SEPT Cinema","","Anatole Dauman","","Chris Marker (nacido Christian François Bouche-Villeneuve, Neuilly-sur-Seine, Francia, 29 de julio de 1921) es un escritor, fotógrafo y director de cine francés, a quien se atribuye la invención del ensayo fílmico. Comenzó su trabajo como parte del grupo de la rive gauche francesa, paralelo pero distinto de la nouvelle vague, con la que compartirían temas y trabajos más tarde. Con Sans soleil, muestra su interés hacia la tecnología digital, lo que le llevará a dirigir la película Level 5 (1997) e IMMEMORY (1998). (Extraido de file:///C:/Documents%20and%20Settings/chernandez/Escritorio/adriana%20h/Chris_Marker.htm)","",""
"MXIM-AV-1-11-90","Editorial Clío","","Diana Roldán","","","",""
"MXIM-AV-1-11-91","Colectivo Perfil Urbano","","","","","",""
"MXIM-AV-1-11-92","Editorial Clío","","Diana Roldán","","","",""
"MXIM-AV-1-11-93","Cineteve, La sept arte, Igeldo Komunikazioa, Soren Staermose AB","","Fabienne Servan Schreiber","","","",""
"MXIM-AV-1-11-94","Dirección General de Actividades Cinematográficas UNAM","","Productor ejecutivo: Eduardo Patiño","","","",""
"MXIM-AV-1-11-94-1","Dirección General de Actividades Cinematográficas UNAM","","Productor ejecutivo: Eduardo Patiño","","","",""
"MXIM-AV-1-11-94-2","Dirección General de Actividades Cinematográficas UNAM","","Productor ejecutivo: Eduardo Patiño","","","",""
"MXIM-AV-1-11-95","Institut fur den Wissen schaftlichen Film Göttingen (IWF), Centre National de la Recherche Scientifique París (CNRS Audiovisuel), Instituto Luce S.P.A. Italnoleggio Cinematográfico Roma.","Difusión cultural UNAM, Filmoteca de la UNAM","Productor ejecutivo: Dr. Hans-Karl Galle","","","",""
"MXIM-AV-1-11-96","HAGHE FILM, YUKA Film","","Floor Kooij, Suzanne von Voorst","","Peter Delpeut nació en Vianen, Alemania, 1956. Estudió filosofía y teoría del cine, entonces matriculados en el holandés de Cine y TV Academia entre 1980 e 1984, período durante el cual escribió comentarios del cine y la televisión. A partir de 1988-1995 organizó programas para el Museo de Cine de los Países Bajos, donde también es director. Emma Zunz (1984), su primer cortometraje, recibió la mención especial del jurado en el Kurzfilmfestival en Berlín y, en el mismo año, ganó un premio especial en Amsterdan. En 1992 Forbidden Quest ganando premios como el Festival de Cine de Mannheim y el Festival de Cine de Oporto. En 1998, su película Felice Felice abrió el 27 Festival de Rotterdam. También ha publicado dos colecciones de ensayos y una novela en los últimos tres años. (http://translate.google.com.mx/translate?hl=es&sl=en&u=http://www2.uol.com.br/mostra/23/english/filmes/148.htm&sa=X&oi=translate&resnum=3&ct=result&prev=/search%3Fq%3DPeter%2BDelpeut%2B%26hl%3Des%26client%3Dfirefox-a%26rls%3Dorg.mozilla:es-ES:official%26sa%3DG)","Donación","2004"
"MXIM-AV-1-11-97","Editorial Clío","","Diana Roldán","","","",""
"MXIM-AV-1-11-98","Centro de Estudos Avançados Multidisciplinares (CEAM)/Núcleo de Estudos do Centro-Oeste (NECO)/Universidade de Brasilia-Centro de Produçao Cultural e Educativa (UB-CPCE)","","","","","Donación","2001"
"MXIM-AV-1-11-99","Editorial Rana del sur, Video y cine independiente","Ediciones Pentagrama S.A de C.V, Colectivo Perfil Urbano A.C","Oscar Menéndez","La Editorial La Rana del Sur es una empresa morelense enfocada fundamentalmente a la producción y distribución de documentales independientes en el formato DVD. Los documentales que están en circulación son de realizadores independientes que no tienen c","Oscar Menendez, director, productor, escritor y editor","Compra","2008"
"MXIM-AV-1-11-100","Centro de Capacitación Cinematográfica A. C., Instituto mexicano de Cinematografía, Estudios Churubusco Azteca","","Gustavo Montiel Pages, Patricia Martínez de Velasco, Alberto Lee Sánchez","IMCINE: El Instituto Mexicano de Cinematografía fue creado por decreto presidencial, el 25 de marzo de 1983, como un organismo público descentralizado con personalidad jurídica y patrimonio propio. Su misión es fomentar la producción y promoción del cine mexicano , como una de nuestras manifestaciones culturales de mayor presencia en los medios de comunicación, así como impulsar la industria cinematográfica de nuestro país. Bajo el Consejo Nacional para la Cultura y las Artes, coordina las actividades de la Cineteca Nacional, Estudios Churubusco Azteca, S. A. (ECHASA) y el Centro de Capacitación Cinematográfica (C.C.C.). Para el cumplimiento de sus funciones, el Instituto cuenta con el Programa de Fomento a la Creación Cinematográfica, produce cortometrajes y apoya a la Producción de largometrajes.(http://www.imcine.gob.mx/html/imcine/imcine.html)","","",""
"MXIM-AV-1-11-101","Instituto do Patrimônio Histórico e Artístico Nacional, 14a Coordenação Regional, Fundação de Apoio à Pesquisa (FAP-DF), Núcleo de Estudos da Cultura, Oralidade, Imágem e Memória no Centro-Oeste (NECOIM/CEAM/UnB), Departamento do Patrimônio Histórico e Artístico do Distrito Federal (DePHA/SCE/GDF)","","","","","Donación","2001"
"MXIM-AV-1-11-102","Fundación Carmen Toscano I.A.P.","","Carmen Toscano","FUNDACIÓN TOSCANO: Conservamos y difundimos el archivo de películas de Salvador Toscano, pionero del cine en México y en su memoria se reconoce y distingue a los miembros de la comunidad cinematográfica que han dedicado toda su vida al cine.Las imágenes del Archivo Toscano fueron, en su momento, noticia. El estudiar el origen y utilización posterior de esas imágenes nos permite entender mejor los fenómenos de mediáticos característicos de nuestra época. El archivo de cine de la Fundación Toscano es miembro de la Federación Internacional de Archivos de Cine (FIAF). (http://www.fundaciontoscano.org/esp/quienes.asp)","","Donación de Guadalupe Ramírez de Ita","1/09/2013"
"MXIM-AV-1-11-103","Atelier de comunicacao","","Diego Levin, Rodrigo Mondim","","","",""
"MXIM-AV-1-11-104","CPCE, CEAM, NECOCNPq, DPP, UnB","","","","","Donación","2001"
"MXIM-AV-1-11-105","LA SEPT, ARTE, SODAPERAGA MIKROS Image, Centre National de la Cinematographie","","Brigitte Lecuyer","","","Donación","2004"
"MXIM-AV-1-11-106","Editorial Rana del sur, Cooperativa de producción Salvador Toscano S.C.L. Video y cine independiente","Ediciones Pentagrama S.A de C.V","Asistente d Producción Lupita Mirandan","La Editorial La Rana del Sur es una empresa morelense enfocada fundamentalmente a la producción y distribución de documentales independientes en el formato DVD. Los documentales que están en circulación son de realizadores independientes que no tienen compromiso con empresas comerciales ni de carácter institucional. Esto nos da un modelo singular ya que el trabajo independiente de cine y video finalmente tiene como destinatario el público en general, así como escuelas y universidades. Nuestro catálogo consta de 23 títulos de diferentes realizadores: José Luis Contreras y María del Carmen Ortiz, Pacho Lane, Diego Rivera, Antonio Zirión y Oscar Menéndez. Hemos dividido nuestro catálogo en dos series: México insólito y Memoria histórica, todas resumidas en un enunciado que es Historia no oficial. Nuestras realizaciones abarcan conceptos de historia de México que van desde temas de etnografía de los pueblos indígenas hasta obras literarias de autores sobresalientes en las letras en México. Y, desde luego, en nuestro catálogo varias de las realizaciones abarcan el capítulo de la historia de México en 1968. También en uno de nuestros capítulos están varias realizaciones sobre la rebelión en Chiapas a partir de 1994. Hace tres años, cuando fundamos esta empresa, logramos romper el silencio sobre el cine documental independiente. En tres años logramos penetrar en el mercado formal a pesar de la persecución constante que tenemos de la Secretaría de Hacienda que no descansa para nada ya que cualquier error contable nos lo señala con requerimientos, terrorismo fiscal y amenazas de embargo, que realmente desanimarían al más valiente de los cineastas.","Oscar Menendez, director, productor, escritor y editor","Compra","2005"
"MXIM-AV-1-11-107","Canal Once TV","","Carlos Prieto","","","",""
"MXIM-AV-1-11-108","Instituto Mora-CONACyT","","Carlos Hernández, Paris García","","http://www.mora.edu.mx/Investigacion/Principal/laboratorio.html","Producción propia del LAIS","1999"
"MXIM-AV-1-11-109","Fundación Simon Rodriguez","","Andres Di Tella","","","",""
"MXIM-AV-1-11-110","NPS-TV P.O.Box 444, 1200 JJ Hilversum THE NETHERLANDS","","Rade Milicevic","","","Donación","2001"
"MXIM-AV-1-11-111","CONACULTA/Museo Nacional de Culturas Populares","","Ricardo Sánchez Hernández","CONACULTA: El Consejo Nacional para la Cultura y las Artes responde a la necesidad de contar con un órgano rector que dé coherencia a una política pública históricamente desarrollada en el país por una gran multiplicidad de organismos y dependencias de muy distintos sectores y de la más diversa naturaleza institucional. Entre ellas, las unidades administrativas de la anterior Subsecretaría de Cultura de la Secretaría de Educación Pública, inmediato antecedente del Consejo; las diferentes instituciones y dependencias de otras secretarías que por sus funciones de carácter cultural han sido transferidas en distintos momentos; y, finalmente, las entidades adscritas al área de Cultura, varias de larga tradición. En atención a las exigencias y requerimientos de orden cultural de la sociedad mexicana, a partir de la creación del Consejo Nacional para la Cultura y las Artes se da origen a diversos programas y acciones, con el propósito fundamental de enriquecer la identidad cultural de los mexicanos. La misión fundamental del Consejo es integrar y coordinar de manera armoniosa la labor de los organismos, dependencias e instituciones del gobierno que desarrollan la política cultural del Estado Mexicano. (Extraído de: http://www.conaculta.gob.mx/consejo_quienes.html). MUSEO NACIONAL DE CULTURAS POPULARES: Fundado en 1982 por el maestro Guillermo Bonfil Batalla, el Museo Nacional de Culturas Populares es un espacio donde se documentan, estudian, preservan, difunden y promueven en forma sistemática las diversas manifestaciones de la cultura popular e indígena, a partir de una propuesta museográfica. Es un museo vivo en el que se estimula la participación activa de los creadores de estas expresiones, provenientes de todos los ámbitos del país. Realiza exposiciones temporales de pequeño, mediano y gran formato, en las que se muestran las diferentes manifestaciones culturales de México con las cuales se busca su preservación, conocimiento y difusión. Paralelamente investiga, conserva y difunde las tradiciones y las nuevas manifestaciones de la cultura popular con la organización de eventos relacionados con ella y con el calendario festivo tradicional. Desarrolla actividades didácticas y eventos acordes con la temática de las exposiciones, organiza talleres, cursos y seminarios a nivel técnico en el ámbito de las culturas populares. (Extraído de http://www.culturaspopulareseindigenas.gob.mx/museo.html)","","",""
"MXIM-AV-1-11-112","Editorial Clío","","Diana Roldán","","","",""
"MXIM-AV-1-11-113","Editorial Clío","","Diana Roldán","","","",""
"MXIM-AV-1-11-114","Banco Mundial, Instituto por la Calidad en la Gestión","","","","","",""
"MXIM-AV-1-11-115","GRIFO Comunicaçao","","","","Pedro Abib Licenciado en Educación por la Universidad Federal da Bahía (UFBA) y doctorado en Ciencias Sociales aplicadas a la Educación por la Universidad Estadual de Campinas (UNICAMP), Pedro Abib trabaja actualmente como profesor adjunto en la Facultad de Educación de la UFBA. Es documentalista y también investigador de la CAPES. Ha dirigido O Velho Capoeirista: Mestre João Pequeno de Pastinha, documental sobre el maestro más viejo de Capoeira Angola en activo en Brasil, que ganó el premio del mejor documental en el Festival de Artes de la UNICAMP 2002. También ha dirigido el vídeo Fome de Que?, sobre la huelga de hambre de los profesores de las Universidades Federales brasileñas en 1998.(http://www.fcat.es/wiki/index.php/Pedro_Abib)","Donación","2001"
